"","Location","IncidentType","County","State","PlaceCode","IncidentBeginDate","zip","city","state","latitude","longitude","latlong"
"1","FL,Baker","Hurricane","Baker (County)","FL",99003,"2017-09-05T01:00:00.000Z","32531","Baker","FL",30.8752,-86.68607,"30.8752:-86.68607"
"2","FL,Okeechobee","Hurricane","Okeechobee (County)","FL",99093,"2017-09-05T01:00:00.000Z","34924","Okeechobee","FL",27.227002,-80.829442,"27.227002:-80.829442"
"3","FL,Okeechobee","Hurricane","Okeechobee (County)","FL",99093,"2017-09-05T01:00:00.000Z","34974","Okeechobee","FL",27.1944,-80.84644,"27.1944:-80.84644"
"4","FL,Okeechobee","Hurricane","Okeechobee (County)","FL",99093,"2017-09-05T01:00:00.000Z","34972","Okeechobee","FL",27.39171,-80.87555,"27.39171:-80.87555"
"5","FL,Okeechobee","Hurricane","Okeechobee (County)","FL",99093,"2017-09-05T01:00:00.000Z","34973","Okeechobee","FL",27.297631,-80.802656,"27.297631:-80.802656"
"6","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34277","Sarasota","FL",27.167521,-82.380967,"27.167521:-82.380967"
"7","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34278","Sarasota","FL",27.331628,-82.528488,"27.331628:-82.528488"
"8","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34236","Sarasota","FL",27.333014,-82.54613,"27.333014:-82.54613"
"9","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34237","Sarasota","FL",27.336973,-82.51506,"27.336973:-82.51506"
"10","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34238","Sarasota","FL",27.240571,-82.47836,"27.240571:-82.47836"
"11","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34239","Sarasota","FL",27.310924,-82.5213,"27.310924:-82.5213"
"12","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34240","Sarasota","FL",27.33458,-82.40894,"27.33458:-82.40894"
"13","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34241","Sarasota","FL",27.272873,-82.41676,"27.272873:-82.41676"
"14","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34242","Sarasota","FL",27.275225,-82.54934,"27.275225:-82.54934"
"15","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34243","Sarasota","FL",27.407657,-82.52923,"27.407657:-82.52923"
"16","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34276","Sarasota","FL",27.167521,-82.380967,"27.167521:-82.380967"
"17","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34230","Sarasota","FL",27.335023,-82.537169,"27.335023:-82.537169"
"18","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34231","Sarasota","FL",27.267649,-82.51663,"27.267649:-82.51663"
"19","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34232","Sarasota","FL",27.321313,-82.47648,"27.321313:-82.47648"
"20","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34233","Sarasota","FL",27.285142,-82.47363,"27.285142:-82.47363"
"21","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34234","Sarasota","FL",27.365622,-82.53556,"27.365622:-82.53556"
"22","FL,Sarasota","Hurricane","Sarasota (County)","FL",99115,"2017-09-05T01:00:00.000Z","34235","Sarasota","FL",27.365549,-82.48659,"27.365549:-82.48659"
"23","FL,Seminole","Hurricane","Seminole (County)","FL",99117,"2017-09-05T01:00:00.000Z","33772","Seminole","FL",27.843349,-82.79307,"27.843349:-82.79307"
"24","FL,Seminole","Hurricane","Seminole (County)","FL",99117,"2017-09-05T01:00:00.000Z","33776","Seminole","FL",27.853151,-82.82712,"27.853151:-82.82712"
"25","FL,Seminole","Hurricane","Seminole (County)","FL",99117,"2017-09-05T01:00:00.000Z","33775","Seminole","FL",27.891809,-82.724763,"27.891809:-82.724763"
"26","FL,Suwannee","Hurricane","Suwannee (County)","FL",99121,"2017-09-05T01:00:00.000Z","32692","Suwannee","FL",29.330426,-83.14401,"29.330426:-83.14401"
