disasterType,id,disasterNumber,state,incidentBeginDate,placeCode,declaredCountyArea,incidentType
EM,59af57f78d585ca31f3eb9a9,3385,FL,2017-09-05T01:00:00.000Z,99131,Walton (County),Hurricane
EM,59af57f78d585ca31f3eb9a8,3385,FL,2017-09-05T01:00:00.000Z,99121,Suwannee (County),Hurricane
EM,59af57f78d585ca31f3eb9a4,3385,FL,2017-09-05T01:00:00.000Z,99085,Martin (County),Hurricane
EM,59af57f78d585ca31f3eb9a7,3385,FL,2017-09-05T01:00:00.000Z,99117,Seminole (County),Hurricane
EM,59af57f78d585ca31f3eb9a6,3385,FL,2017-09-05T01:00:00.000Z,99103,Pinellas (County),Hurricane
EM,59af57f78d585ca31f3eb9a1,3385,FL,2017-09-05T01:00:00.000Z,99055,Highlands (County),Hurricane
EM,59af57f78d585ca31f3eb99c,3385,FL,2017-09-05T01:00:00.000Z,99003,Baker (County),Hurricane
EM,59af57f78d585ca31f3eb9a5,3385,FL,2017-09-05T01:00:00.000Z,99093,Okeechobee (County),Hurricane
EM,59af57f78d585ca31f3eb99f,3385,FL,2017-09-05T01:00:00.000Z,99035,Flagler (County),Hurricane
EM,59af57f78d585ca31f3eb9a3,3385,FL,2017-09-05T01:00:00.000Z,99075,Levy (County),Hurricane
EM,59af57f78d585ca31f3eb99e,3385,FL,2017-09-05T01:00:00.000Z,99023,Columbia (County),Hurricane
EM,59af57f78d585ca31f3eb9a2,3385,FL,2017-09-05T01:00:00.000Z,99065,Jefferson (County),Hurricane
EM,59af57f78d585ca31f3eb99d,3385,FL,2017-09-05T01:00:00.000Z,99013,Calhoun (County),Hurricane
EM,59af57f78d585ca31f3eb9a0,3385,FL,2017-09-05T01:00:00.000Z,99045,Gulf (County),Hurricane
EM,59af57f78d585ca31f3eb989,3385,FL,2017-09-05T01:00:00.000Z,99115,Sarasota (County),Hurricane
EM,59af57f78d585ca31f3eb984,3385,FL,2017-09-05T01:00:00.000Z,99063,Jackson (County),Hurricane
EM,59af57f78d585ca31f3eb988,3385,FL,2017-09-05T01:00:00.000Z,99101,Pasco (County),Hurricane
EM,59af57f78d585ca31f3eb97f,3385,FL,2017-09-05T01:00:00.000Z,99011,Broward (County),Hurricane
EM,59af57f78d585ca31f3eb98b,3385,FL,2017-09-05T01:00:00.000Z,99129,Wakulla (County),Hurricane
EM,59af57f78d585ca31f3eb98a,3385,FL,2017-09-05T01:00:00.000Z,99119,Sumter (County),Hurricane
EM,59af57f78d585ca31f3eb983,3385,FL,2017-09-05T01:00:00.000Z,99053,Hernando (County),Hurricane
EM,59af57f78d585ca31f3eb97e,3385,FL,2017-09-05T01:00:00.000Z,99001,Alachua (County),Hurricane
EM,59af57f78d585ca31f3eb987,3385,FL,2017-09-05T01:00:00.000Z,99091,Okaloosa (County),Hurricane
EM,59af57f78d585ca31f3eb982,3385,FL,2017-09-05T01:00:00.000Z,99043,Glades (County),Hurricane
EM,59af57f78d585ca31f3eb985,3385,FL,2017-09-05T01:00:00.000Z,99073,Leon (County),Hurricane
EM,59af57f78d585ca31f3eb980,3385,FL,2017-09-05T01:00:00.000Z,99021,Collier (County),Hurricane
